path	occurrences	correct_entities	is_rule	relation
####################
CiC _CiC CiC	408447	45286	yes	CiC
CiC CiC _CiC	92893	1965	yes	CiC
CcSE _CcSE CiC	54576	3116	yes	CiC
CcSE NO_OP _CcSE	22185	16	no	CiC
_CiC CiC CiC	18677	308	yes	CiC
CcSE NO_OP NO_OP	11863	0	no	CiC
CiC _CiC CcSE	7541	0	no	CiC
CiC _CiC _CiC	5455	12	yes	CiC
CiC _CiC CrC	5025	4	no	CiC
CuG _GcG GcG	4432	0	no	CiC
CrC CiC _CiC	3610	1	no	CiC
CiC _CiC CbG	2751	0	no	CiC
CuG _GcG _GcG	2603	0	no	CiC
CuG GcG _GcG	2311	0	no	CiC
CcSE _CcSE CcSE	1887	0	no	CiC
CiC _CiC NO_OP	1866	0	no	CiC
CiC _CiC CbA	1693	0	no	CiC
CiC _CiC _CrC	1183	4	yes	CiC
CdG _GcG GcG	1040	0	no	CiC
CuG GpPW _GpPW	1001	0	no	CiC
CuG GpMF _GpMF	966	0	no	CiC
CiC _CiC _PCiC	867	0	no	CiC
CdG _GcG _GcG	682	0	no	CiC
CdG GcG _GcG	589	0	no	CiC
_CiC CiC _CiC	511	1	yes	CiC
CuG _GcG GpBP	501	0	no	CiC
CdG GpPW _GpPW	456	0	no	CiC
CuG GiG GiG	411	0	no	CiC
CbA NO_OP _CbA	406	1	no	CiC
CuG _GcG GpMF	405	0	no	CiC
CiC CiC NO_OP	398	0	no	CiC
CuG _GcG GiG	341	0	no	CiC
CuG GiG _GcG	333	0	no	CiC
CrC CiC CiC	332	13	yes	CiC
CuG _CtG CrC	321	0	no	CiC
CuG _GiG GiG	309	0	no	CiC
CuG GiG GpPW	304	0	no	CiC
CbA NO_OP NO_OP	303	0	no	CiC
CuG GcG GcG	298	0	no	CiC
CuG _CtG CbG	296	0	no	CiC
CrC CbA _CbA	289	0	no	CiC
CuG _GcG _AuG	254	0	no	CiC
CdG GiG _GiG	243	0	no	CiC
CuG GpBP _GpBP	240	0	no	CiC
CiC _CiC CdG	238	0	no	CiC
CbG GcG _GcG	219	0	no	CiC
CuG GiG _GiG	204	0	no	CiC
CuG _GcG GpPW	189	0	no	CiC
